entity	table	column	type	required	pk	ref	note
Table	sequencing_dataset	sequencing_assay	sequencing_assay	TRUE			type of sequencing assay performed (e.g. WGS, WES)
Table	sequencing_dataset	exome_capture_platform	string				exome capture platform (if applicable)
Table	sequencing_dataset	capture_region_bed_filename	string				name of capture region bed file (if applicable)
Table	sequencing_dataset	sequencer_id	string				machine identifier for sequencer
Table	sequencing_dataset	seq_platform	string	TRUE			sequencing platform used (e.g. Illumina HiSeq X)
Table	sequencing_dataset	average_target_size	integer				average target size for DNA fragments
Table	sequencing_dataset	average_target_depth	integer				average target sequencing depth
Table	sequencing_dataset	seq_strategy	string				paired end or single end
Table	sequencing_file	sequencing_file_id	string		TRUE	from: md5sum	
Table	sequencing_file	md5sum	string	TRUE			md5 checksum for the file
Table	sequencing_file	sequencing_dataset_id	string	TRUE		> sequencing_dataset.sequencing_dataset_id	
Table	sequencing_file	file_path	string	TRUE			absolute file path in cloud storage
Table	sequencing_file	description	string	TRUE			description of file contents
Table	sequencing_file	file_type	file_type	TRUE			
Table	sequencing_file	chromosome	chromosome	TRUE			
enum	reported_sex	F					
enum	reported_sex	M					
enum	reported_sex	X					
enum	tissue_source	UBERON:0000178					
enum	tissue_source	UBERON:0000479					
enum	tissue_source	UBERON:0001836					
enum	tissue_source	UBERON:0006956					
enum	file_type	README					
enum	file_type	VCF					
enum	file_type	VCF index					
enum	file_type	PLINK bed					
enum	file_type	PLINK bim					
enum	file_type	PLINK fam					
enum	file_type	quality metrics					
enum	file_type	data dictionary					
enum	chromosome	ALL					
enum	chromosome	1					
enum	chromosome	2					
enum	chromosome	3					
enum	chromosome	4					
enum	chromosome	5					
enum	chromosome	6					
enum	chromosome	7					
enum	chromosome	8					
enum	chromosome	9					
enum	chromosome	10					
enum	chromosome	11					
enum	chromosome	12					
enum	chromosome	13					
enum	chromosome	14					
enum	chromosome	15					
enum	chromosome	16					
enum	chromosome	17					
enum	chromosome	18					
enum	chromosome	19					
enum	chromosome	20					
enum	chromosome	21					
enum	chromosome	22					
enum	chromosome	X					
enum	chromosome	Y					
enum	reference_assembly	GRCh38					
enum	reference_assembly	GRCh37					
enum	reference_assembly	NCBI36					
enum	reference_assembly	NCBI35					
enum	reference_assembly	NCBI34					
enum	sequencing_assay	WGS					
enum	sequencing_assay	WES					
enum	sequencing_assay	targeted					
meta	subject			TRUE			
meta	sample			TRUE			
meta	sample_set			TRUE			
meta	array_dataset						
meta	array_file						
meta	imputation_dataset						
meta	imputation_file						
meta	sequencing_dataset						
meta	sequencing_file						
